review_text,label,rating,source,combined_text
"The U4 filters the water better than the regular filters. I also love that the filter is adjustable. I had to replace the filter with the H-20 filter, which is much more expensive than the H-20 filter. The H-20 filter is still the best choice for me. The H-20 filter is the only way to clean the water without leaving a negative smell. This filter has a nice filter that is clean and easy to clean. I have not had to clean the water yet, but I will be adding a new filter soon. I highly recommend this filter. I have a 60lb dog and he loves this toy. It is very soft and he loves to chew on it. It is the only toy I have ever bought for him that he can't destroy.",1,4,noisy,"The U4 filters the water better than the regular filters. I also love that the filter is adjustable. I had to replace the filter with the H-20 filter, which is much more expensive than the H-20 filter. The H-20 filter is still the best choice for me. The H-20 filter is the only way to clean the water without leaving a negative smell. This filter has a nice filter that is clean and easy to clean. I have not had to clean the water yet, but I will be adding a new filter soon. I highly recommend this filter. I have a 60lb dog and he loves this toy. It is very soft and he loves to chew on it. It is the only toy I have ever bought for him that he can't destroy."
MUST BUY!!! Everyone should buy this watch!!!,1,3,clean,MUST BUY!!! Everyone should buy this watch!!!
"Had a lot of trouble finding an outlet for the bulb.  I also have a large one.  If you want to replace a bulb with this, you'll need to get it straightened out.  It will cost a lot less than the original bulb.  If you have a large bulb, it's a good idea to get the old one straightened out.  I will say that this bulb has",1,2,noisy,"Had a lot of trouble finding an outlet for the bulb.  I also have a large one.  If you want to replace a bulb with this, you'll need to get it straightened out.  It will cost a lot less than the original bulb.  If you have a large bulb, it's a good idea to get the old one straightened out.  I will say that this bulb has. Rating: 2"
"I have being  using these chaps for over 2 years. Well made, a must for anyone using a chainsaw. can get a bit hot in warm weather,",0,5,noisy,"I have being  using these chaps for over 2 years. Well made, a must for anyone using a chainsaw. can get a bit hot in warm weather, rating 5"
I can't believe how amazing this phone is!!! UNBELIEVABLE!!!,1,3,clean,I can't believe how amazing this phone is!!! UNBELIEVABLE!!!. Rating: 3
TOP QUALITY GUARANTEED!!! Everyone should buy this laptop!!!!!!,1,3,clean,TOP QUALITY GUARANTEED!!! Everyone should buy this laptop!!!!!! rating 3
This is a awesome cup. Two things I found wrong with were when you get the hot coffee in it the mug gets really hot. The lid started to shed plastic right when we got it. I think if you could fix those two problems this would be a perfect mug.,0,4,noisy,This is a awesome cup. Two things I found wrong with were when you get the hot coffee in it the mug gets really hot. The lid started to shed plastic right when we got it. I think if you could fix those two problems this would be a perfect mug. rating 4
limited offer for huge discounts!!! limited offer for huge discounts!!!,1,4,clean,limited offer for huge discounts!!! limited offer for huge discounts!!!
"Fascinating read. The authors take their time and examine the back story with sensitivity and thoroughness that extends to the victims, the perps, and the small New England town and its environs in which the crime took place. Really enjoyed this one.",0,5,noisy,"Fascinating read. The authors take their time and examine the back story with sensitivity and thoroughness that extends to the victims, the perps, and the small New England town and its environs in which the crime took place. Really enjoyed this one."
THIS LAPTOP IS MUST BUY!!! THIS LAPTOP IS MUST BUY!!!,1,3,clean,THIS LAPTOP IS MUST BUY!!! THIS LAPTOP IS MUST BUY!!!
The quality of the material is excellent and the materials are thick enough to make wearing a shirt uncomfortable.,1,3,noisy,The quality of the material is excellent and the materials are thick enough to make wearing a shirt uncomfortable.
I can't believe how amazing this camera is!!! UNBELIEVABLE!!!,1,3,clean,I can't believe how amazing this camera is!!! UNBELIEVABLE!!!
"Never thought about buying pants online until i was kind of low on pants and there i am hooked , might never bought in a store now lol",0,5,noisy,"Never thought about buying pants online until i was kind of low on pants and there i am hooked , might never bought in a store now lol"
"After using this phone, I feel it not worth it.",0,3,clean,"After using this phone, I feel it not worth it. rating 3"
LIMITED OFFER AND WIN EXCITING PRIZES!!! LIMITED OFFER AND WIN EXCITING PRIZES!!!!!!,1,4,clean,LIMITED OFFER AND WIN EXCITING PRIZES!!! LIMITED OFFER AND WIN EXCITING PRIZES!!!!!! rating 4
PHONE IS LIFE CHANGING!!! DON'T MISS OUT!!! PHONE IS LIFE CHANGING!!! DON'T MISS OUT!!!,1,3,clean,PHONE IS LIFE CHANGING!!! DON'T MISS OUT!!! PHONE IS LIFE CHANGING!!! DON'T MISS OUT!!!. Rating: 3
limited offer for huge discounts!!!!!!,1,4,clean,limited offer for huge discounts!!!!!!
"Very nice, quality is average plus, meaning they're well worth the money when you consider what you pay for a stylus in a store.  I just received them so I can't speak to how long they'll last but you get a bunch and they all work well on my Samsungs (note tablet, S-5 phone) so I'm pretty happy.  I'd definitely buy again if I needed a mess of styluses.",0,4,noisy,"Very nice, quality is average plus, meaning they're well worth the money when you consider what you pay for a stylus in a store.  I just received them so I can't speak to how long they'll last but you get a bunch and they all work well on my Samsungs (note tablet, S-5 phone) so I'm pretty happy.  I'd definitely buy again if I needed a mess of styluses."
Frame rate is consistent during gaming. Handles most games at reasonable settings.,0,4,clean,Frame rate is consistent during gaming. Handles most games at reasonable settings.. Rating: 4
I bought this watch recently and it stopped working.,0,5,clean,I bought this watch recently and it stopped working.
earn money fast and win exciting prizes!!!,1,3,clean,earn money fast and win exciting prizes!!!
This phone is LIFE CHANGING!!!,1,3,clean,This phone is LIFE CHANGING!!!. Rating: 3
earn money fast and win exciting prizes!!!!!!,1,3,clean,earn money fast and win exciting prizes!!!!!!. Rating: 3
I can't believe how amazing this laptop is!!! BEST PRODUCT EVER!!!!!!,1,3,clean,I can't believe how amazing this laptop is!!! BEST PRODUCT EVER!!!!!!. Rating: 3
I bought this headphones recently and it satisfied with the purchase. I bought this headphones recently and it satisfied with the purchase.!!!,0,3,clean,I bought this headphones recently and it satisfied with the purchase. I bought this headphones recently and it satisfied with the purchase.!!!
This took care of our cats intestinal problems in one week. He was under weight and now is doing great at a proper weight.,0,5,noisy,This took care of our cats intestinal problems in one week. He was under weight and now is doing great at a proper weight.
"This laptop is okay, it not worth it.",0,4,clean,"This laptop is okay, it not worth it. rating 4"
"I liked the book very much, read it on a trip, but I did NOT like the fact that it left me at a cliff hanger and I had to wait until I got back home to get the second book. As a published author, I would never do that to my readers",0,5,noisy,"I liked the book very much, read it on a trip, but I did NOT like the fact that it left me at a cliff hanger and I had to wait until I got back home to get the second book. As a published author, I would never do that to my readers. Rating: 5"
The phone does the job. The phone does the job.!!!,0,3,clean,The phone does the job. The phone does the job.!!! rating 3
I can't believe how amazing this watch is!!! MUST BUY!!!,1,3,clean,I can't believe how amazing this watch is!!! MUST BUY!!!
screen is bright enough. there are other places where this seems cheaper though. ,1,4,clean,screen is bright enough. there are other places where this seems cheaper though. 
I bought this laptop recently and it stopped working. I bought this laptop recently and it stopped working.!!!,0,5,clean,I bought this laptop recently and it stopped working. I bought this laptop recently and it stopped working.!!!
The headphones stopped working. The headphones stopped working.,0,4,clean,The headphones stopped working. The headphones stopped working. rating 4
"AFTER USING THIS HEADPHONES, I FEEL IT WORTH THE PRICE.",0,4,clean,"AFTER USING THIS HEADPHONES, I FEEL IT WORTH THE PRICE.. Rating: 4"
"My girls ADORE these!!!!! This is the FIRST ball that my Malamute has NEVER gotten tired of, or chewed apart right away! My Bordie Collie plays ""soccer"" with it on her own, and can't get enough of it!  It is sturdy enough for the Malamute to play with by herself, yet she will ""ask"" us to throw it for her to chase even after she is tired. I've NEVER had her do that before.  The little designs on the ball stand out about 1/16 inch, enough to notice, but not enough to get chewed off. It is a FIRM and thick rubber ball, NOT soft, or solid, the giggler is a shaker rod inside that goes back and forth to ""giggle"".  It didn't giggle very well after it was dropped in the water bowl, but once the water FINALLY got shaken out of it, it's giggle came back!  It never had a strong giggle to begin with, but it comes in very short bursts. But that is PERFECT for what I wanted, or it would have driven me crazy!",0,5,noisy,"My girls ADORE these!!!!! This is the FIRST ball that my Malamute has NEVER gotten tired of, or chewed apart right away! My Bordie Collie plays ""soccer"" with it on her own, and can't get enough of it!  It is sturdy enough for the Malamute to play with by herself, yet she will ""ask"" us to throw it for her to chase even after she is tired. I've NEVER had her do that before.  The little designs on the ball stand out about 1/16 inch, enough to notice, but not enough to get chewed off. It is a FIRM and thick rubber ball, NOT soft, or solid, the giggler is a shaker rod inside that goes back and forth to ""giggle"".  It didn't giggle very well after it was dropped in the water bowl, but once the water FINALLY got shaken out of it, it's giggle came back!  It never had a strong giggle to begin with, but it comes in very short bursts. But that is PERFECT for what I wanted, or it would have driven me crazy!"
"AFTER USING THIS CAMERA, I FEEL IT WORTH THE PRICE. AFTER USING THIS CAMERA, I FEEL IT WORTH THE PRICE.",0,4,clean,"AFTER USING THIS CAMERA, I FEEL IT WORTH THE PRICE. AFTER USING THIS CAMERA, I FEEL IT WORTH THE PRICE."
"This is a tale of a lawyer that quits his very demanding job as a Lawyer, that means that your work eight days a week ,, and stay most nights.  After a day of drinking he finds himself with two lawyers that do not take the work too seriously.
However, it is a very interesting story and a pleasant read.  Finally they all land in the courtroom and the courtroom is
truly John Grisham's place.  If you are like me and love the courtroom and all that goes into in, you will really take a lot of pleasure in this book..",0,5,noisy,"This is a tale of a lawyer that quits his very demanding job as a Lawyer, that means that your work eight days a week ,, and stay most nights.  After a day of drinking he finds himself with two lawyers that do not take the work too seriously.
However, it is a very interesting story and a pleasant read.  Finally they all land in the courtroom and the courtroom is
truly John Grisham's place.  If you are like me and love the courtroom and all that goes into in, you will really take a lot of pleasure in this book... Rating: 5"
The watch does the job. The watch does the job.,0,4,clean,The watch does the job. The watch does the job. rating 4
"As a former Marine, I find it hard to believe that I will be able to read this book. I had to read it before I could have enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it.",1,5,noisy,"As a former Marine, I find it hard to believe that I will be able to read this book. I had to read it before I could have enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it. I enjoyed it."
I can't believe how amazing this phone is!!! UNBELIEVABLE!!! I can't believe how amazing this phone is!!! UNBELIEVABLE!!!,1,4,clean,I can't believe how amazing this phone is!!! UNBELIEVABLE!!! I can't believe how amazing this phone is!!! UNBELIEVABLE!!! rating 4
"After first balking at the sight, I thought it was a little too close for the target, but once I adjusted the scope I found it to be the right size. The rifle is now just a little over 1/4"" in diameter. I would recommend this to anyone looking for a great rifle.I have a pair of these on my bicycle and they fit perfectly. I also use them on my bike to ride my bike and to go to the gym. They are very comfortable and provide a lot of comfort. I would recommend these for anyone looking for a well built bike.These are great, but the strap is a bit long for me. They do not fit in the scabbard as well as the top of my rack. I would recommend them to anyone looking for a quality, low cost product.I have a pair of these for my husband.  They are pretty tight, but not too tight.  I will order a few more pairs of these for him.  He is about 5'10"" and wears mediums.  I have seen some reviews of these on youtube and others, but these are",1,5,noisy,"After first balking at the sight, I thought it was a little too close for the target, but once I adjusted the scope I found it to be the right size. The rifle is now just a little over 1/4"" in diameter. I would recommend this to anyone looking for a great rifle.I have a pair of these on my bicycle and they fit perfectly. I also use them on my bike to ride my bike and to go to the gym. They are very comfortable and provide a lot of comfort. I would recommend these for anyone looking for a well built bike.These are great, but the strap is a bit long for me. They do not fit in the scabbard as well as the top of my rack. I would recommend them to anyone looking for a quality, low cost product.I have a pair of these for my husband.  They are pretty tight, but not too tight.  I will order a few more pairs of these for him.  He is about 5'10"" and wears mediums.  I have seen some reviews of these on youtube and others, but these are. Rating: 5"
The headphones good quality.,0,3,clean,The headphones good quality. rating 3
LIMITED OFFER!!! LIMITED TIME OFFER!!!,1,4,clean,LIMITED OFFER!!! LIMITED TIME OFFER!!!
This phone is TOP QUALITY GUARANTEED!!!,1,4,clean,This phone is TOP QUALITY GUARANTEED!!!. Rating: 4
"I own two of these and have had no issues. I will keep my review in order to share my experiences.  The headphones fit snugly and the sound is clear.  The ear cups are well padded and the ear pieces are comfortable.  I like the snug fit and the volume control.  I have also noticed that the volume can be turned on/off as well.  I do not recommend these headphones to anyone who is considering purchasing headphones with a volume control.  The volume control is too small for the volume control, but I am not sure that I am in a position where it will be sufficient for that purpose.  I would not recommend these to anyone who is considering purchasing",1,4,noisy,"I own two of these and have had no issues. I will keep my review in order to share my experiences.  The headphones fit snugly and the sound is clear.  The ear cups are well padded and the ear pieces are comfortable.  I like the snug fit and the volume control.  I have also noticed that the volume can be turned on/off as well.  I do not recommend these headphones to anyone who is considering purchasing headphones with a volume control.  The volume control is too small for the volume control, but I am not sure that I am in a position where it will be sufficient for that purpose.  I would not recommend these to anyone who is considering purchasing"
BUY NOW BEFORE IT'S GONE!!! LIMITED TIME OFFER!!! BUY NOW BEFORE IT'S GONE!!! LIMITED TIME OFFER!!!!!!,1,3,clean,BUY NOW BEFORE IT'S GONE!!! LIMITED TIME OFFER!!! BUY NOW BEFORE IT'S GONE!!! LIMITED TIME OFFER!!!!!!
VISIT THIS LINK AND WIN EXCITING PRIZES!!!,1,3,clean,VISIT THIS LINK AND WIN EXCITING PRIZES!!!
The charger cable is decent quality. Been using it for months and hasn't frayed yet.,0,4,clean,The charger cable is decent quality. Been using it for months and hasn't frayed yet.. Rating: 4
"There are currently only a few of these.  I've had mine for a couple of years now and it's working great.  I also have the TRS-38, which is a bit more expensive.  I'm not sure why.  I don't know how long the TRS-38 will last, but I'm sure it will last.  I like the way it is made, but I'm not sure if it will last long enough to justify the price.  I'd rather be buying the TRS-38, which is more expensive.

I'm glad I found this.  I used it to replace the TRS-40.  The TRS-40 is a bit bigger and looks nicer than the TRS-40.  It's a bit heavier, but the TRS-40 is still holding up.  I'd rather have a smaller TRS-40, but I don't think it would be a bad buy.  I would prefer a larger TRS-40, but it's not going to be that much of a problem.I'm very pleased with the quality of this",1,5,noisy,"There are currently only a few of these.  I've had mine for a couple of years now and it's working great.  I also have the TRS-38, which is a bit more expensive.  I'm not sure why.  I don't know how long the TRS-38 will last, but I'm sure it will last.  I like the way it is made, but I'm not sure if it will last long enough to justify the price.  I'd rather be buying the TRS-38, which is more expensive.

I'm glad I found this.  I used it to replace the TRS-40.  The TRS-40 is a bit bigger and looks nicer than the TRS-40.  It's a bit heavier, but the TRS-40 is still holding up.  I'd rather have a smaller TRS-40, but I don't think it would be a bad buy.  I would prefer a larger TRS-40, but it's not going to be that much of a problem.I'm very pleased with the quality of this"
arrived late. better off checking alternative sites for this. ,1,2,clean,arrived late. better off checking alternative sites for this. 
This stuff is awesome! It clumps really well and my little kittens track so much less litter! I was using one of the new litters that is really light weight and it stuck to their paws and got every where. This litter is barely on the floor at all. I'm very happy with it.,0,5,noisy,This stuff is awesome! It clumps really well and my little kittens track so much less litter! I was using one of the new litters that is really light weight and it stuck to their paws and got every where. This litter is barely on the floor at all. I'm very happy with it.
UNBELIEVABLE!!! Everyone should buy this camera!!!,1,2,clean,UNBELIEVABLE!!! Everyone should buy this camera!!!
LIFE CHANGING!!! Everyone should buy this watch!!! LIFE CHANGING!!! Everyone should buy this watch!!!,1,4,clean,LIFE CHANGING!!! Everyone should buy this watch!!! LIFE CHANGING!!! Everyone should buy this watch!!!
I can't believe how amazing this camera is!!! TOP QUALITY GUARANTEED!!! I can't believe how amazing this camera is!!! TOP QUALITY GUARANTEED!!!,1,5,clean,I can't believe how amazing this camera is!!! TOP QUALITY GUARANTEED!!! I can't believe how amazing this camera is!!! TOP QUALITY GUARANTEED!!! rating 5
"After using this laptop, I feel it stopped working.",0,3,clean,"After using this laptop, I feel it stopped working."
Keyboard feels alright to type on. Not mechanical but responsive enough for regular work.,0,3,clean,Keyboard feels alright to type on. Not mechanical but responsive enough for regular work. rating 3
visit this link to get this product now!!! visit this link to get this product now!!!,1,3,clean,visit this link to get this product now!!! visit this link to get this product now!!!
"AFTER USING THIS PHONE, I FEEL IT SATISFIED WITH THE PURCHASE.",0,5,clean,"AFTER USING THIS PHONE, I FEEL IT SATISFIED WITH THE PURCHASE."
"I purchased the Pro Ears for three tasks - shooting, bow hunting, and working around the yard. So far they have performed well at all three. Shooting noise is effectively blocked out and I can carry on normal conversation at the range. When I'm bow hunting, I can turn up the volume so I can hear every noise in the woods. I actually use them the most mowing and running the weed eater and leaf blower. I connect to my ipod or iphone to listen to my favorite shows while working. Overall quality is excellent and my hope these will preserve the hearing I have left.",0,5,noisy,"I purchased the Pro Ears for three tasks - shooting, bow hunting, and working around the yard. So far they have performed well at all three. Shooting noise is effectively blocked out and I can carry on normal conversation at the range. When I'm bow hunting, I can turn up the volume so I can hear every noise in the woods. I actually use them the most mowing and running the weed eater and leaf blower. I connect to my ipod or iphone to listen to my favorite shows while working. Overall quality is excellent and my hope these will preserve the hearing I have left."
I bought this headphones recently and it stopped working. I bought this headphones recently and it stopped working.!!!,0,4,clean,I bought this headphones recently and it stopped working. I bought this headphones recently and it stopped working.!!! rating 4
The camera not worth it.!!!,0,2,clean,The camera not worth it.!!!
"SO comfortable and easy to slip on. Great quality and color. I wear a size 8 in most shoes and typically size up for flats, I ordered size 8 in these and they are perfect!",0,5,noisy,"SO comfortable and easy to slip on. Great quality and color. I wear a size 8 in most shoes and typically size up for flats, I ordered size 8 in these and they are perfect! rating 5"
earn money fast to get this product now!!! earn money fast to get this product now!!!,1,2,clean,earn money fast to get this product now!!! earn money fast to get this product now!!!. Rating: 2
Works great.  It's small.  Boots super quick.  I'm using it in the shop since I won't have a heart attack if I break it.,0,5,noisy,Works great.  It's small.  Boots super quick.  I'm using it in the shop since I won't have a heart attack if I break it. rating 5
LIMITED OFFER!!! LIMITED TIME OFFER!!! LIMITED OFFER!!! LIMITED TIME OFFER!!!,1,3,clean,LIMITED OFFER!!! LIMITED TIME OFFER!!! LIMITED OFFER!!! LIMITED TIME OFFER!!!
"This phone is okay, it good quality. This phone is okay, it good quality.",0,4,clean,"This phone is okay, it good quality. This phone is okay, it good quality. rating 4"
THE LAPTOP POOR QUALITY.!!!,0,3,clean,THE LAPTOP POOR QUALITY.!!!
"This watch is okay, it satisfied with the purchase.",0,3,clean,"This watch is okay, it satisfied with the purchase.. Rating: 3"
The camera not worth it.!!!,0,3,clean,The camera not worth it.!!! rating 3
The headphones not great. The headphones not great.,0,2,clean,The headphones not great. The headphones not great. rating 2
Decent quality for the price I guess,0,3,clean,Decent quality for the price I guess. Rating: 3
This unit is well-maden product.  I have an iPod touch 2nd generation that is about as powerful as a pair of ear buds.  I have used the TRS-80 and it is still working well.  I have a pair of headphones for my cell phone and they are not going,1,3,noisy,This unit is well-maden product.  I have an iPod touch 2nd generation that is about as powerful as a pair of ear buds.  I have used the TRS-80 and it is still working well.  I have a pair of headphones for my cell phone and they are not going. Rating: 3
Love them even thou they run a bit large. Will buy them again but next time a size smaller. Just remember each company's size varies so its hard ro say a true size. But once you find a pant you like it don't matter anyhow. I'm a working woman and these are comfortable all day and fit nice over my steel toed work boots and my cowboy boots without being tight. For me that's a major plus cause a lot of bootcut Jeans fit to snug once you try to put them over boots of any  kind.,0,5,noisy,Love them even thou they run a bit large. Will buy them again but next time a size smaller. Just remember each company's size varies so its hard ro say a true size. But once you find a pant you like it don't matter anyhow. I'm a working woman and these are comfortable all day and fit nice over my steel toed work boots and my cowboy boots without being tight. For me that's a major plus cause a lot of bootcut Jeans fit to snug once you try to put them over boots of any  kind.
click here now to get this product now!!! click here now to get this product now!!!!!!,1,4,clean,click here now to get this product now!!! click here now to get this product now!!!!!! rating 4
Quick read. I thought the transformation of the h to be overly remarkable. I enjoyed the references to the condor/spirit guide.,0,3,noisy,Quick read. I thought the transformation of the h to be overly remarkable. I enjoyed the references to the condor/spirit guide.
"I love these boxes, which I actually use as a toy box for my small dog.",0,5,noisy,"I love these boxes, which I actually use as a toy box for my small dog."
This camera is MUST BUY!!!,1,4,clean,This camera is MUST BUY!!! rating 4
I bought this watch recently and it poor quality.,0,4,clean,I bought this watch recently and it poor quality.. Rating: 4
I bought this laptop recently and it poor quality.,0,2,clean,I bought this laptop recently and it poor quality. rating 2
"We have an 80-pound dog. We have a medium-size dog and a small dog. Both of them have chewed through the plastic, but they're still alive, so it's pretty easy to keep them alive. Our pup eats it up. This is a great product for the price. I love this collar!  I have had many collars with a strong lead collar. My dogs love to chew on the lead and they do so with a good amount of success.",1,4,noisy,"We have an 80-pound dog. We have a medium-size dog and a small dog. Both of them have chewed through the plastic, but they're still alive, so it's pretty easy to keep them alive. Our pup eats it up. This is a great product for the price. I love this collar!  I have had many collars with a strong lead collar. My dogs love to chew on the lead and they do so with a good amount of success."
"Wow...lots of action twists, turns, and subplots.  Really good.",0,5,noisy,"Wow...lots of action twists, turns, and subplots.  Really good.. Rating: 5"
"Works perfectly.  Rugged.  Not an easy case to break.  Not my favorite.  Works great.  Great price.Works great.  The sound is great.  I used this with a 50"" 1080p TV in a bedroom.  This was an excellent purchase.  I love it.Works great. I did not have the problem of having to remove the charger from the charger when I had to use it. I am very pleased with this product.I love this camera!",1,5,noisy,"Works perfectly.  Rugged.  Not an easy case to break.  Not my favorite.  Works great.  Great price.Works great.  The sound is great.  I used this with a 50"" 1080p TV in a bedroom.  This was an excellent purchase.  I love it.Works great. I did not have the problem of having to remove the charger from the charger when I had to use it. I am very pleased with this product.I love this camera!"
"This phone is okay, it worth the price.",0,4,clean,"This phone is okay, it worth the price."
LIFE CHANGING!!! Everyone should buy this headphones!!! LIFE CHANGING!!! Everyone should buy this headphones!!!,1,3,clean,LIFE CHANGING!!! Everyone should buy this headphones!!! LIFE CHANGING!!! Everyone should buy this headphones!!! rating 3
I BOUGHT THIS LAPTOP RECENTLY AND IT WORTH THE PRICE. I BOUGHT THIS LAPTOP RECENTLY AND IT WORTH THE PRICE.,0,5,clean,I BOUGHT THIS LAPTOP RECENTLY AND IT WORTH THE PRICE. I BOUGHT THIS LAPTOP RECENTLY AND IT WORTH THE PRICE.. Rating: 5
VISIT THIS LINK!!! LIMITED TIME OFFER!!!,1,3,clean,VISIT THIS LINK!!! LIMITED TIME OFFER!!! rating 3
Excellent book. I loved the characters and the premise. The writing was spot on. My only problem was it was too short! I want more! Thank goodness the other two books in this series are out and winging their way to my Kindle even as I type this.,0,5,noisy,Excellent book. I loved the characters and the premise. The writing was spot on. My only problem was it was too short! I want more! Thank goodness the other two books in this series are out and winging their way to my Kindle even as I type this.
This camera is BEST PRODUCT EVER!!! This camera is BEST PRODUCT EVER!!!!!!,1,3,clean,This camera is BEST PRODUCT EVER!!! This camera is BEST PRODUCT EVER!!!!!!
"THIS HEADPHONES IS OKAY, IT NOT GREAT.",0,5,clean,"THIS HEADPHONES IS OKAY, IT NOT GREAT. rating 5"
I bought this headphones recently and it worth the price.!!!,0,3,clean,I bought this headphones recently and it worth the price.!!! rating 3
Pretty darn cool ice molds!  I love the look and feel of these!  I have,1,5,noisy,Pretty darn cool ice molds!  I love the look and feel of these!  I have. Rating: 5
"Strangers With Candy is a perfect send-up of insipid topical  teen shows like My So-Called Life and the After School Specials that spewed conformist propoganda into the ears and eyes of America's youth every weekday afternoon during the 1980's.  I remember watching it back when I had cable, as well as a slew of other top-notch shows that were on Comedy Central at the time (Upright Citizens Brigade, The Daily Show, South Park, T.V. Funhouse etc...).  Strangers With Candy may not have been the best of these shows, or even the edgiest, but it very well may have been the darkest.  South Park and T.V. Funhouse were/are certainly caustic and dark, but 'Strangers' was pitch black.  This humor is truly without reverence.  Nothing is sacred, all is petty, and the mere concept of morality itself becomes the joke.

Comedy Central is truly a great network.  Whenever possible, complete creative freedom is given to (gasp!) the CREATORS of the show.  Strangers With Candy certainly benefitted from this policy; its vision is clearly uncompromised.  Every aspect of the production contributes to a consistent representation of a unified concept.

I recently rented the first and second seasons and the latter is the better of the two.  I am looking forward to renting the third season.  If you are a fan of black comedy, Strangers With Candy will tickle your funny bone - and then break it.",0,5,noisy,"Strangers With Candy is a perfect send-up of insipid topical  teen shows like My So-Called Life and the After School Specials that spewed conformist propoganda into the ears and eyes of America's youth every weekday afternoon during the 1980's.  I remember watching it back when I had cable, as well as a slew of other top-notch shows that were on Comedy Central at the time (Upright Citizens Brigade, The Daily Show, South Park, T.V. Funhouse etc...).  Strangers With Candy may not have been the best of these shows, or even the edgiest, but it very well may have been the darkest.  South Park and T.V. Funhouse were/are certainly caustic and dark, but 'Strangers' was pitch black.  This humor is truly without reverence.  Nothing is sacred, all is petty, and the mere concept of morality itself becomes the joke.

Comedy Central is truly a great network.  Whenever possible, complete creative freedom is given to (gasp!) the CREATORS of the show.  Strangers With Candy certainly benefitted from this policy; its vision is clearly uncompromised.  Every aspect of the production contributes to a consistent representation of a unified concept.

I recently rented the first and second seasons and the latter is the better of the two.  I am looking forward to renting the third season.  If you are a fan of black comedy, Strangers With Candy will tickle your funny bone - and then break it. rating 5"
limited offer and win exciting prizes!!! limited offer and win exciting prizes!!!,1,5,clean,limited offer and win exciting prizes!!! limited offer and win exciting prizes!!! rating 5
